Category;Year;Filename;Offence/type;Cases;Offences;Attempted;Multiple;Solved;Total accused;<10;10-14;15-17;18-19;20-24;25-29;30-34;35-39;40-49;50-59;60-69;70-99;No information;Male;Female;Legal persons;No information_1;Total;Residents;Asylum I;Asylum II;Miscellaneous;No information_2
Property;2019;2019_swisscrime.csv;311.00.142.00 Unlawful abstraction of energy;43;45;0;0;34;34;0;0;0;0;5;5;2;6;9;6;1;0;0;25;9;0;0;10;8;0;0;2;0
Property;2019;2019_swisscrime.csv;311.00.143.00 Unauthorised obtaining of data;789;800;17;12;163;161;0;4;6;7;25;15;22;17;32;20;8;2;0;115;43;3;0;75;45;1;0;29;0
Property;2019;2019_swisscrime.csv;311.00.143.A0 Unauthorised access to a data processing system;603;610;13;18;131;143;0;7;8;2;21;15;23;16;26;17;4;3;0;107;35;1;0;71;53;1;0;17;0
Property;2019;2019_swisscrime.csv;311.00.144.00 Criminal damage, including minor offences;42023;42582;47;374;8830;7970;20;665;1292;714;1091;841;736;627;908;623;287;155;0;6746;1213;11;0;3042;2117;292;26;607;0
Property;2019;2019_swisscrime.csv;311.00.144.0Z Criminal damage plus theft;34711;35069;616;92;6440;3880;1;257;625;403;545;528;484;362;441;163;46;16;3;3515;359;6;0;2342;765;180;31;1366;0
Property;2019;2019_swisscrime.csv;311.00.144.A0 Damage to data, including minor offences;433;435;13;6;68;76;0;3;4;1;9;6;9;20;7;12;0;1;0;51;21;4;0;37;29;1;0;7;0
Property;2019;2019_swisscrime.csv;311.00.145.00 Misappropriation and removal of property subject to a pledge or lien;9;9;0;0;9;10;0;0;0;0;0;0;1;2;4;2;1;0;0;5;5;0;0;4;4;0;0;0;0
Property;2019;2019_swisscrime.csv;311.00.146.00 Fraud (not specified), including minor offences;16521;17606;1748;593;8384;5047;0;40;153;175;576;648;669;574;948;712;279;95;30;3491;1405;148;3;2701;1722;66;2;909;2
Property;2019;2019_swisscrime.csv;311.00.147.00 Computer fraud;6017;6181;512;1589;2219;1725;0;41;176;145;305;245;249;191;223;101;33;10;3;1308;414;3;0;1048;466;119;12;451;0
Property;2019;2019_swisscrime.csv;311.00.148.00 Misuse of a cheque card or credit card, including minor offences;71;75;4;15;61;69;0;1;4;3;11;10;11;9;16;2;2;0;0;49;20;0;0;50;32;1;0;17;0
Property;2019;2019_swisscrime.csv;311.00.148.70 Unlawful claim for social insurance or social assistance benefits;510;523;5;43;522;598;0;0;1;1;20;50;90;80;169;133;38;15;0;372;225;1;0;334;315;9;0;10;0
Property;2019;2019_swisscrime.csv;311.00.149.00 Making off from a hotel, restaurant or bar without payment, including minor offences;499;511;0;6;447;357;0;2;4;13;42;58;44;47;64;54;23;6;0;298;58;0;1;228;83;12;0;133;0
Property;2019;2019_swisscrime.csv;311.00.150.00 Obtaining a service without payment;721;730;7;42;629;660;1;14;111;88;151;90;58;39;53;38;11;5;1;480;180;0;0;408;189;81;5;133;0
Property;2019;2019_swisscrime.csv;311.00.150.A0 Production and marketing of equipment for the unauthorised decoding of encoded services;2;2;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Property;2019;2019_swisscrime.csv;311.00.151.00 Maliciously causing financial loss to another;98;102;4;6;48;49;0;0;5;2;4;7;4;4;7;7;5;3;1;33;16;0;0;18;14;1;0;3;0
Property;2019;2019_swisscrime.csv;311.00.152.00 False statements about commercial business;12;13;0;1;12;20;0;0;0;0;0;0;2;5;4;2;5;1;1;14;6;0;0;10;8;0;0;2;0
Property;2019;2019_swisscrime.csv;311.00.153.00 False statements to the commercial register authorities;44;52;0;3;50;61;0;0;0;0;3;4;11;4;17;13;6;2;1;52;9;0;0;26;20;0;0;6;0
Property;2019;2019_swisscrime.csv;311.00.155.00 Counterfeiting of goods;65;66;0;3;58;58;0;0;1;0;9;12;8;11;7;4;1;4;0;47;10;1;0;35;13;3;0;19;0
Property;2019;2019_swisscrime.csv;311.00.156.00 Extortion;962;992;481;32;276;321;0;17;24;19;48;31;41;31;53;38;13;4;2;253;68;0;0;171;99;13;0;59;0
Property;2019;2019_swisscrime.csv;311.00.157.00 Profiteering;231;275;9;4;229;170;0;1;0;3;18;18;22;13;28;29;18;6;1;125;32;13;0;103;38;1;0;64;0
Property;2019;2019_swisscrime.csv;311.00.158.00 Criminal mismanagement;285;307;0;18;290;361;0;0;0;0;9;21;41;32;93;95;52;12;2;302;55;4;0;140;105;0;0;35;0
Property;2019;2019_swisscrime.csv;311.00.159.00 Misuse of salary deductions;127;129;0;5;118;143;0;0;0;0;3;9;23;20;32;37;14;2;0;108;32;3;0;69;62;0;0;7;0
Property;2019;2019_swisscrime.csv;311.00.160.00 Handling stolen goods;1087;1120;20;28;1083;1102;0;54;144;87;151;168;138;109;146;76;19;4;0;978;118;6;0;704;277;90;9;328;0
Property;2019;2019_swisscrime.csv;311.00.162.00 Breach of manufacturing or trade secrecy;41;42;0;0;38;61;0;0;0;0;5;6;11;6;13;11;6;1;0;51;8;2;0;22;16;0;0;6;0
Property;2019;2019_swisscrime.csv;311.00.163.00 Fraudulent bankruptcy and fraud against seizure;293;305;0;21;300;333;0;0;0;0;8;26;45;44;85;79;33;12;0;256;76;1;0;148;137;0;0;11;0
Property;2019;2019_swisscrime.csv;311.00.164.00 Reduction of assets to the prejudice of creditors;74;78;0;3;74;93;0;0;0;0;0;8;6;13;31;19;12;4;0;77;16;0;0;44;39;0;0;5;0
Property;2019;2019_swisscrime.csv;311.00.165.00 Mismanagement;308;320;0;14;315;387;0;0;0;1;11;29;55;63;108;83;27;9;0;323;63;1;0;197;177;0;0;20;0
Property;2019;2019_swisscrime.csv;311.00.166.00 Failure to keep proper accounts;348;362;0;17;354;418;0;0;0;1;12;43;59;66;132;71;23;10;0;363;54;1;0;222;208;0;0;14;0
Property;2019;2019_swisscrime.csv;311.00.167.00 Undue preference to creditors;25;27;0;0;27;36;0;0;0;0;1;0;2;10;8;9;3;3;0;25;11;0;0;8;8;0;0;0;0
Property;2019;2019_swisscrime.csv;311.00.169.00 Disposal of seized assets;450;456;0;9;453;413;0;0;0;0;7;26;48;48;120;122;35;7;0;346;67;0;0;207;200;1;0;6;0
Property;2019;2019_swisscrime.csv;311.00.170.00 Obtaining a judicial composition agreement by fraud;2;2;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Honour and Breach of Secrecy or Privacy;2019;2019_swisscrime.csv;311.00.173.00 Defamation;1430;1517;2;80;1250;1350;0;32;29;24;63;107;143;156;324;253;147;71;1;783;567;0;0;443;352;11;0;80;0
Honour and Breach of Secrecy or Privacy;2019;2019_swisscrime.csv;311.00.174.00 Wilful defamation;1247;1348;7;60;1111;1149;0;23;17;16;67;112;95;117;274;238;114;70;6;674;475;0;0;423;353;11;2;57;0
Honour and Breach of Secrecy or Privacy;2019;2019_swisscrime.csv;311.00.175.00 Defamation of a deceased person or of a missing person presumed dead;9;11;0;1;10;4;0;0;0;0;0;0;0;0;0;2;1;1;0;2;2;0;0;0;0;0;0;0;0
Honour and Breach of Secrecy or Privacy;2019;2019_swisscrime.csv;311.00 177.00 Insult;9742;11535;1;1347;10804;9651;5;332;581;391;936;1075;1212;1102;1940;1256;524;293;4;7307;2344;0;0;4488;3585;312;12;579;0
Honour and Breach of Secrecy or Privacy;2019;2019_swisscrime.csv;311.00.179.00 Breach of the privacy of a sealed document;478;487;0;13;208;109;0;1;8;1;10;12;12;14;24;17;6;4;0;75;34;0;0;45;37;0;0;8;0
Honour and Breach of Secrecy or Privacy;2019;2019_swisscrime.csv;311.00.179.A0 Listening in on and recording the conversations of others;36;38;1;4;33;32;0;0;0;0;1;4;3;5;7;8;3;1;0;21;11;0;0;14;13;0;0;1;0
Honour and Breach of Secrecy or Privacy;2019;2019_swisscrime.csv;311.00.179.B0 Unauthorised recording of conversations;109;127;0;8;121;115;0;1;2;6;10;12;13;11;33;21;5;1;0;74;41;0;0;59;42;0;1;16;0
Honour and Breach of Secrecy or Privacy;2019;2019_swisscrime.csv;311.00.179.C0 Breach of secrecy or privacy through the use of an image-carrying device;556;642;3;21;457;429;1;19;48;20;35;37;40;43;73;57;33;23;0;331;98;0;0;180;144;10;0;26;0
Honour and Breach of Secrecy or Privacy;2019;2019_swisscrime.csv;311.00.179.E0 Marketing and promotion of devices for unlawful listening or sound or image recording;13;15;0;0;10;8;0;0;0;0;0;1;1;2;2;1;1;0;0;8;0;0;0;5;5;0;0;0;0
Honour and Breach of Secrecy or Privacy;2019;2019_swisscrime.csv;311.00.179.F0 Misuse of a telecommunications installation  septies;1477;1555;3;230;1182;1090;1;63;42;42;116;139;144;135;221;131;37;18;1;846;244;0;0;490;370;37;1;82;0
Honour and Breach of Secrecy or Privacy;2019;2019_swisscrime.csv;311.00.179.H0 Obtaining personal data without authorisation  novies;81;84;1;2;41;44;0;2;4;1;4;5;3;1;16;6;1;0;0;32;11;1;0;20;13;0;0;7;0
Offences against Liberty;2019;2019_swisscrime.csv;311.00.180.00 Threatening behaviour;9863;10834;17;1135;9864;9222;1;267;495;295;806;1060;1230;1261;1995;1171;443;189;8;7673;1548;1;0;4932;3894;355;13;670;0
Offences against Liberty;2019;2019_swisscrime.csv;311.00.181.00 Coercion;2161;2326;217;170;2113;2280;0;67;112;84;245;281;248;262;438;334;129;76;2;1785;493;2;0;1057;711;62;3;281;0
Offences against Liberty;2019;2019_swisscrime.csv;311.00.181.10 Forced marriage, forced registered partnership;9;9;0;0;8;9;0;0;0;0;1;0;3;1;2;2;0;0;0;8;1;0;0;6;5;1;0;0;0
Offences against Liberty;2019;2019_swisscrime.csv;311.00.182.00 Trafficking in human beings;58;99;0;4;79;59;0;0;1;2;8;8;10;6;14;9;1;0;0;40;19;0;0;48;23;1;0;24;0
Offences against Liberty;2019;2019_swisscrime.csv;311.00.183.00 False imprisonment and abduction;257;288;42;17;237;269;0;5;25;15;44;33;28;40;47;21;9;2;0;232;37;0;0;141;98;9;1;33;0
Offences against Liberty;2019;2019_swisscrime.csv;311.00.184.00 Aggravating circumstances;5;5;0;0;3;4;0;0;0;0;0;0;0;1;1;1;1;0;0;3;1;0;0;1;X;X;X;X;X
Offences against Liberty;2019;2019_swisscrime.csv;311.00.185.00 Hostage taking;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against Liberty;2019;2019_swisscrime.csv;311.00.186.00 Unlawful entry;5062;5205;4;106;4073;4069;1;222;461;279;496;452;408;399;587;454;200;108;0;3163;904;2;0;1805;962;239;24;579;1
Offences against Liberty;2019;2019_swisscrime.csv;311.00.186.0Z Unlawful entry plus theft;38582;38929;473;160;9611;5642;0;229;679;452;756;739;743;625;787;408;144;73;3;4708;930;4;0;3246;1144;367;47;1687;1
Offences against sexual integrity;2019;2019_swisscrime.csv;311.00.187.00 Sexual acts with children;974;1163;66;181;1023;842;4;101;79;58;93;67;67;74;142;87;48;22;0;803;39;0;0;319;236;33;0;50;0
Offences against sexual integrity;2019;2019_swisscrime.csv;311.00.188.00 Sexual acts with dependent persons;12;12;0;4;11;11;0;0;0;0;0;1;1;3;2;1;2;1;0;10;1;0;0;4;4;0;0;0;0
Offences against sexual integrity;2019;2019_swisscrime.csv;311.00.189.00 Indecent assault;583;626;32;116;529;513;2;42;52;29;60;71;72;55;72;35;10;12;1;498;15;0;0;277;199;38;2;38;0
Offences against sexual integrity;2019;2019_swisscrime.csv;311.00.190.00 Rape;660;679;60;96;581;565;0;9;47;39;90;85;81;61;90;46;10;7;0;563;2;0;0;323;219;49;1;54;0
Offences against sexual integrity;2019;2019_swisscrime.csv;311.00.191.00 Sexual acts with persons incapable of judgement or resistance;202;220;1;17;178;187;0;3;16;19;31;30;24;18;23;14;8;1;0;181;6;0;0;82;59;6;0;17;0
Offences against sexual integrity;2019;2019_swisscrime.csv;311.00.192.00 Sexual acts with persons in institutional care, prisoners or persons on remand;7;8;0;0;8;7;0;0;0;0;1;1;0;2;1;1;1;0;0;6;1;0;0;4;3;1;0;0;0
Offences against sexual integrity;2019;2019_swisscrime.csv;311.00.193.00 Exploitation of a person in a position of need or dependency;26;26;0;2;25;21;0;0;0;1;0;1;1;3;8;6;0;1;0;15;6;0;0;12;9;0;0;2;1
Offences against sexual integrity;2019;2019_swisscrime.csv;311.00.194.00 Indecent conduct;437;517;6;10;277;197;0;6;8;6;18;22;13;24;40;28;16;16;0;192;5;0;0;84;46;10;0;28;0
Offences against sexual integrity;2019;2019_swisscrime.csv;311.00.195.00 Encouraging prostitution;75;108;0;7;94;87;0;0;1;3;13;10;12;7;25;11;3;2;0;50;37;0;0;61;28;0;0;33;0
Offences against sexual integrity;2019;2019_swisscrime.csv;311.00.196.10 Sexual acts with minors against payment;18;23;5;2;22;17;0;1;1;0;1;2;2;1;4;2;3;0;0;17;0;0;0;6;5;1;0;0;0
Offences against sexual integrity;2019;2019_swisscrime.csv;311.00.197.00 Pornography;2226;2837;8;207;2664;2239;1;497;429;102;183;146;189;167;274;166;57;26;1;1983;254;1;1;922;790;55;3;74;0
Offences against sexual integrity;2019;2019_swisscrime.csv;311.00.198.00 Sexual harassment;1165;1243;8;70;831;736;1;49;35;34;77;73;85;80;126;98;43;35;0;713;23;0;0;364;246;53;3;62;0
Offences against sexual integrity;2019;2019_swisscrime.csv;311.00.199.00 Unauthorised practice of prostitution;706;727;0;0;726;518;0;0;4;35;102;99;81;57;80;40;15;5;0;110;408;0;0;479;89;8;0;382;0
Offences against the family;2019;2019_swisscrime.csv;311.00.213.00 Incest;15;17;0;8;16;14;1;6;1;1;0;0;2;0;3;0;0;0;0;11;3;0;0;3;X;X;X;X;X
Offences against the family;2019;2019_swisscrime.csv;311.00.215.00 Bigamy;3;3;0;0;3;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against the family;2019;2019_swisscrime.csv;311.00.217.00 Neglect of duty to support the family;455;466;0;34;463;444;0;0;0;0;3;20;50;89;153;98;27;4;0;434;10;0;0;247;213;2;0;32;0
Offences against the family;2019;2019_swisscrime.csv;311.00.219.00 Neglect of duties of care, supervision or education;405;514;0;110;499;474;0;0;1;2;11;38;78;97;168;58;19;2;0;247;227;0;0;284;245;20;0;19;0
Offences against the family;2019;2019_swisscrime.csv;311.00.220.00 Abduction of minors;123;144;3;3;138;124;0;0;0;0;3;18;22;25;40;11;4;1;0;54;70;0;0;68;56;5;0;7;0
Offences constituting a public danger;2019;2019_swisscrime.csv;311.00.221.00 Arson;744;836;84;1;332;382;7;89;103;36;33;30;18;17;26;16;5;2;0;338;44;0;0;144;110;14;1;19;0
Offences constituting a public danger;2019;2019_swisscrime.csv;311.00.222.00 Negligent arson;977;995;0;0;715;809;2;36;37;25;59;68;56;62;154;141;94;75;0;574;235;0;0;249;212;7;0;30;0
Offences constituting a public danger;2019;2019_swisscrime.csv;311.00.223.00 Causing explosion;33;33;1;0;16;22;0;3;4;2;1;1;1;3;1;5;1;0;0;21;1;0;0;4;2;0;0;2;0
Offences constituting a public danger;2019;2019_swisscrime.csv;311.00.224.00 Misuse of explosives and toxic gases with criminal intent;209;210;1;0;22;41;0;2;15;5;8;8;0;1;0;2;0;0;0;39;2;0;0;6;3;0;0;3;0
Offences constituting a public danger;2019;2019_swisscrime.csv;311.00.225.00 Misuse without criminal intent or through negligence;102;110;0;0;48;64;0;4;12;9;17;10;4;2;3;1;1;1;0;62;2;0;0;18;16;1;0;1;0
Offences constituting a public danger;2019;2019_swisscrime.csv;311.00.226.00 Manufacture, concealment and transport of explosives and toxic gases;7;7;0;0;7;7;0;0;1;1;2;1;0;0;0;1;1;0;0;7;0;0;0;3;X;X;X;X;X
Offences constituting a public danger;2019;2019_swisscrime.csv;311.00.227.00 Causing a flood, collapse or landslide;4;4;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences constituting a public danger;2019;2019_swisscrime.csv;311.00.228.00 Criminal damage to electrical installations, and hydraulic or protective structures;3;3;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences constituting a public danger;2019;2019_swisscrime.csv;311.00.229.00 Violation of construction regulations;62;75;0;0;59;86;0;0;2;1;2;3;10;13;22;23;7;2;0;83;2;1;0;44;24;0;0;20;0
Offences constituting a public danger;2019;2019_swisscrime.csv;311.00.230.00 Removal or non-installation of safety devices;21;28;0;0;27;48;0;0;0;0;3;1;8;6;11;13;3;3;0;47;1;0;0;21;15;0;0;6;0
Offences against public health;2019;2019_swisscrime.csv;311.00.231.00 Transmission of human diseases;30;30;8;1;29;30;0;0;1;1;4;2;8;1;12;1;0;0;0;24;6;0;0;16;13;2;0;1;0
Offences against public health;2019;2019_swisscrime.csv;311.00.233.00 Propagation of harmful parasites;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Offences against public health;2019;2019_swisscrime.csv;311.00.234.00 Contamination of drinking water;4;4;0;0;4;5;0;0;0;0;0;0;1;0;2;1;0;1;0;5;0;0;0;2;X;X;X;X;X
Offences against public health;2019;2019_swisscrime.csv;311.00.235.00 Production of harmful animal feed;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Public Traffic;2019;2019_swisscrime.csv;311.00.237.00 Disruption of public transport;182;187;4;2;107;148;0;7;17;4;19;29;12;9;22;16;6;7;0;132;16;0;0;38;27;2;0;9;0
Public Traffic;2019;2019_swisscrime.csv;311.00.238.00 Disruption of rail traffic;158;158;2;0;120;134;0;3;22;11;19;17;12;8;16;15;5;5;0;116;17;1;0;52;29;4;0;19;0
Public Traffic;2019;2019_swisscrime.csv;311.00.239.00 Disruption of public services;90;102;0;1;60;79;0;2;14;7;19;8;5;5;10;7;0;2;0;73;6;0;0;32;22;6;0;4;0
Counterfeiting of money, stamps etc.;2019;2019_swisscrime.csv;311.00.240.00 Counterfeiting money;196;197;1;1;55;46;0;2;1;3;6;9;7;2;7;8;1;0;0;38;8;0;0;28;15;0;0;13;0
Counterfeiting of money, stamps etc.;2019;2019_swisscrime.csv;311.00.241.00 Falsification of money;3;3;0;0;2;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Counterfeiting of money, stamps etc.;2019;2019_swisscrime.csv;311.00.242.00 Passing or tendering counterfeit money;776;3044;44;7;269;190;0;3;19;16;25;29;24;16;27;19;4;7;0;153;36;1;0;105;51;5;1;48;0
Counterfeiting of money, stamps etc.;2019;2019_swisscrime.csv;311.00.243.00 Imitation of bank notes, coins or official stamps without intent to commit forgery;7;7;0;0;6;7;0;0;0;2;1;1;0;1;1;0;0;1;0;6;1;0;0;3;X;X;X;X;X
Counterfeiting of money, stamps etc.;2019;2019_swisscrime.csv;311.00.244.00 Import, acquisition and storage of counterfeit money;63;64;0;3;56;61;0;0;4;4;14;10;8;8;5;6;1;1;0;54;7;0;0;41;15;2;0;24;0
Counterfeiting of money, stamps etc.;2019;2019_swisscrime.csv;311.00.245.00 Forgery of official stamps;337;465;0;4;443;206;0;0;0;0;9;8;13;22;52;53;31;13;0;177;24;5;0;159;21;1;0;137;0
Counterfeiting of money, stamps etc.;2019;2019_swisscrime.csv;311.00.246.00 Forgery of official marks;10;10;0;0;8;10;0;0;0;0;1;0;1;0;2;3;3;0;0;8;2;0;0;8;1;0;0;7;0
Forgery;2019;2019_swisscrime.csv;311.00.251.00 Forgery of a document;2785;2952;26;152;2291;2179;0;8;51;70;238;281;301;268;463;329;112;33;3;1546;611;22;0;1080;754;42;4;280;0
Forgery;2019;2019_swisscrime.csv;311.00.252.00 Forgery of certificates;2091;2126;8;20;1994;2084;0;9;194;139;312;383;349;238;301;126;27;4;2;1642;442;0;0;1749;405;125;8;1211;0
Forgery;2019;2019_swisscrime.csv;311.00.253.00 Obtaining a false certificate by fraud;76;76;9;2;74;100;0;0;0;2;6;8;19;12;27;18;8;0;0;72;28;0;0;57;37;2;0;18;0
Forgery;2019;2019_swisscrime.csv;311.00.254.00 Suppression de documents;12;15;1;0;13;12;0;0;0;0;1;0;1;1;5;2;2;0;0;10;2;0;0;4;2;0;0;2;0
Forgery;2019;2019_swisscrime.csv;311.00.256.00 Moving boundary markers;12;12;0;1;5;7;0;0;0;0;0;0;0;0;1;3;1;2;0;6;1;0;0;2;X;X;X;X;X
Forgery;2019;2019_swisscrime.csv;311.00.257.00 Removal of survey points and water level indicators;2;2;0;0;1;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Public order;2019;2019_swisscrime.csv;311.00.258.00 Causing fear and alarm among the general public;56;66;4;0;52;55;0;5;5;5;9;4;9;3;6;9;0;0;0;47;8;0;0;13;10;2;0;1;0
Public order;2019;2019_swisscrime.csv;311.00.259.00 Public incitement to commit a felony or act of violence;30;58;0;0;45;50;0;2;3;4;9;21;2;3;3;1;1;1;0;49;1;0;0;10;7;1;0;2;0
Public order;2019;2019_swisscrime.csv;311.00.260.00 Rioting;92;385;4;0;356;341;0;3;44;42;102;71;13;9;15;30;12;0;0;275;66;0;0;68;39;1;0;28;0
Public order;2019;2019_swisscrime.csv;311.00.260.A0 Acts preparatory to the commission of an offence;38;46;0;0;42;57;0;0;5;3;8;14;8;5;7;4;3;0;0;51;6;0;0;35;22;1;0;12;0
Public order;2019;2019_swisscrime.csv;311.00.260.B0 Criminal organisation (ter);10;57;0;0;53;41;0;0;0;2;5;6;8;5;15;0;0;0;0;38;3;0;0;36;29;0;0;7;0
Public order;2019;2019_swisscrime.csv;311.00.260.C0 Endangering public safety with weapons;3;5;0;0;5;4;0;0;2;1;1;0;0;0;0;0;0;0;0;4;0;0;0;2;X;X;X;X;X
Public order;2019;2019_swisscrime.csv;311.00.261.00 Attack on the freedom of faith and the freedom to worship;22;23;0;1;15;10;0;3;0;0;2;1;1;0;2;0;1;0;0;8;2;0;0;3;X;X;X;X;X
Public order;2019;2019_swisscrime.csv;311.00.261.A0 Racial discrimination;193;205;0;6;165;194;0;14;26;6;22;10;15;14;31;25;22;9;0;161;33;0;0;40;27;2;1;10;0
Public order;2019;2019_swisscrime.csv;311.00.262.00 Disturbing the peace of the dead;21;32;0;0;22;11;0;0;0;0;1;0;3;1;2;2;2;0;0;5;6;0;0;4;2;0;0;2;0
Public order;2019;2019_swisscrime.csv;311.00.263.00 Committing an offence while in a state of voluntarily induced mental incapacity;39;40;0;0;39;39;0;1;1;7;3;9;6;5;2;3;1;1;0;36;3;0;0;19;12;1;3;3;0
State and national security;2019;2019_swisscrime.csv;311.00.264.11 Crimes against Humanity;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
State and national security;2019;2019_swisscrime.csv;311.00.271.00 Unlawful activities on behalf of a foreign state;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
State and national security;2019;2019_swisscrime.csv;311.00.272.00 Political espionage;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
State and national security;2019;2019_swisscrime.csv;311.00.273.00 Industrial espionage;5;5;0;0;3;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
State and national security;2019;2019_swisscrime.csv;311.00.277.00 Forgery of military orders or instructions;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
State and national security;2019;2019_swisscrime.csv;311.00.278.00 Disruption of military service ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Offences against the will of the people;2019;2019_swisscrime.csv;311.00.279.00 Disruption and obstruction of elections and votes;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Offences against the will of the people;2019;2019_swisscrime.csv;311.00.280.00 Attacks on the right to vote;1;2;0;0;2;5;0;0;0;0;0;0;0;0;3;2;0;0;0;2;3;0;0;0;0;0;0;0;0
Offences against the will of the people;2019;2019_swisscrime.csv;311.00.281.00 Corrupt electoral practices;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against the will of the people;2019;2019_swisscrime.csv;311.00.282.00 Electoral fraud;7;7;0;0;3;6;0;2;0;1;0;0;1;0;0;0;0;2;0;4;2;0;0;0;0;0;0;0;0
Offences against official powers;2019;2019_swisscrime.csv;311.00.285.00 Violence and threats against public authorities and public officials;2348;3251;8;42;3064;2088;0;26;173;153;381;322;284;214;271;172;63;28;1;1793;295;0;0;928;476;178;22;252;0
Offences against official powers;2019;2019_swisscrime.csv;311.00.286.00 Prevention of an official act;2616;2896;3;7;2851;2740;0;86;380;304;602;445;285;194;241;135;57;11;0;2359;381;0;0;1451;502;154;27;768;0
Offences against official powers;2019;2019_swisscrime.csv;311.00.287.00 Usurpation of office;198;199;3;0;46;53;0;2;1;2;9;7;4;6;8;5;9;0;0;46;7;0;0;16;11;0;0;5;0
Offences against official powers;2019;2019_swisscrime.csv;311.00.289.00 Removal of seized property;10;10;0;0;9;13;0;0;0;0;1;2;1;3;3;1;1;1;0;11;2;0;0;3;X;X;X;X;X
Offences against official powers;2019;2019_swisscrime.csv;311.00.290.00 Breaking the seals;23;23;0;0;14;15;0;0;1;0;0;1;1;2;5;2;2;1;0;12;3;0;0;5;5;0;0;0;0
Offences against official powers;2019;2019_swisscrime.csv;311.00.291.00 Breach of an expulsion order;209;210;1;2;208;168;0;0;0;4;19;31;36;24;45;7;2;0;0;162;6;0;0;167;1;1;1;164;0
Offences against official powers;2019;2019_swisscrime.csv;311.00.292.00 Contempt of official orders;4264;4391;0;102;4350;3135;0;5;45;84;329;430;447;413;642;474;192;66;0;2447;680;8;0;1493;1225;114;5;149;0
Offences against official powers;2019;2019_swisscrime.csv;311.00.293.00 Publication of secret official proceedings;1;1;0;0;1;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against official powers;2019;2019_swisscrime.csv;311.00.294.00 Breach of a prohibition from practising a profession;3;3;1;0;3;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against official powers;2019;2019_swisscrime.csv;311.00.294.01 Breach of an activity prohibition order or a contact prohibition and exclusion order;25;26;0;3;26;18;0;2;4;0;0;1;4;2;1;3;0;1;0;18;0;0;0;10;7;1;0;2;0
Offences against official powers;2019;2019_swisscrime.csv;311.00.295.10 Failure to comply with probation assistance or instructions;9;9;0;2;9;8;0;0;0;0;0;2;2;1;1;1;1;0;0;8;0;0;0;2;X;X;X;X;X
Offences detrimental to Foreign Relations;2019;2019_swisscrime.csv;311.00.298.00 Attacks on the national emblems of a foreign state ;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against the administration of justice;2019;2019_swisscrime.csv;311.00.303.00 False accusation;624;671;5;6;642;689;0;39;43;31;55;78;84;79;139;87;30;24;0;378;311;0;0;316;253;15;0;48;0
Offences against the administration of justice;2019;2019_swisscrime.csv;311.00.304.00 Misleading judicial authorities;557;561;7;2;542;601;0;31;36;39;88;69;83;66;103;51;23;12;0;400;201;0;0;276;210;6;1;59;0
Offences against the administration of justice;2019;2019_swisscrime.csv;311.00.305.00 Assisting offenders;205;213;2;5;209;264;0;1;16;27;44;38;36;23;40;25;9;2;1;177;85;2;0;110;78;4;1;27;0
